Trip Seconds,Trip Miles,Fare,Tips,Extras,Trip Total,Payment Type,Company,Weekend,Daytime
780,0.4,19.25,0.0,0.0,19.25,Cash,Taxi Affiliation Services,False,True
201,1.01,5.5,0.0,0.5,6.0,Prcard,Flash Cab,False,True
1795,7.11,19.75,0.0,0.0,19.75,Cash,Flash Cab,False,False
60,17.5,51.25,0.0,0.0,51.25,No Charge,"Taxicab Insurance Agency, LLC",False,True
1620,0.5,24.5,0.0,0.0,24.5,Unknown,Taxi Affiliation Services,True,True
1259,9.22,23.24,3.0,0.0,26.24,Mobile,Flash Cab,False,True
2188,8.26,26.75,0.0,0.0,26.75,Prcard,5 Star Taxi,True,True
1438,18.79,46.5,0.0,9.5,56.0,Cash,Chicago Independents,True,False
1352,15.99,40.0,8.9,4.0,53.4,Credit Card,City Service,True,False
679,1.66,9.0,2.32,0.0,11.32,Mobile,City Service,False,True
530,1.42,7.5,0.0,1.0,8.5,Cash,Sun Taxi,False,True
1415,9.99,28.25,0.0,0.0,28.25,Prcard,Flash Cab,False,True
2932,3.9,19.0,0.0,0.0,19.0,Prcard,City Service,False,True
1465,11.3,31.25,0.0,5.0,36.25,Cash,Medallion Leasin,False,True
1638,11.16,31.75,6.45,0.0,38.7,Credit Card,Taxicab Insurance Agency Llc,False,True
3141,16.44,42.0,13.95,4.0,60.45,Credit Card,Sun Taxi,False,True
628,1.81,8.25,4.0,1.0,13.75,Credit Card,City Service,True,True
1143,14.39,36.0,8.1,4.0,48.6,Credit Card,Flash Cab,False,False
1127,5.47,17.25,1.0,1.0,19.75,Credit Card,Sun Taxi,True,True
294,0.61,9.0,2.31,0.0,11.31,Mobile,Sun Taxi,True,False
787,1.86,9.5,0.0,0.0,9.5,Cash,Flash Cab,False,True
481,1.22,7.25,2.0,0.0,9.75,Credit Card,Choice Taxi Association Inc,False,True
1684,11.12,29.5,7.0,5.0,42.0,Credit Card,Taxicab Insurance Agency Llc,True,True
2120,12.9,33.75,5.0,0.0,39.25,Credit Card,City Service,False,True
571,1.46,9.5,1.13,0.0,10.63,Mobile,City Service,False,True
2010,9.09,29.0,0.0,0.0,29.0,Prcard,5 Star Taxi,False,True
796,3.67,9.26,0.0,0.0,9.26,Mobile,Sun Taxi,True,True
1647,14.64,35.89,5.73,0.0,41.62,Mobile,City Service,False,False
829,6.75,18.05,4.2,0.0,22.25,Mobile,Taxicab Insurance Agency Llc,True,True
1020,3.59,12.75,2.65,0.0,15.9,Mobile,Sun Taxi,False,True
1380,4.3,15.75,0.0,0.0,15.75,Cash,Taxi Affiliation Services,False,False
720,3.2,11.25,3.0,0.0,14.25,Credit Card,Taxi Affiliation Services,False,True
2011,16.74,42.0,11.62,4.0,58.12,Credit Card,Sun Taxi,True,True
1815,12.71,34.25,0.0,0.0,34.25,Cash,Flash Cab,True,True
231,0.54,5.0,0.0,0.0,5.0,Cash,Sun Taxi,False,True
1020,6.9,20.0,0.0,0.0,20.0,Unknown,Taxi Affiliation Services,True,True
1066,2.08,10.5,0.0,0.0,10.5,Cash,City Service,False,True
1080,4.0,14.5,0.0,0.0,14.5,Cash,Top Cab Affiliation,True,True
3687,17.54,46.0,10.3,5.0,61.8,Credit Card,Medallion Leasin,False,True
1800,1.2,49.75,0.0,5.0,54.75,Cash,Taxi Affiliation Services,False,False
1393,10.86,29.0,6.7,4.0,40.2,Credit Card,Taxicab Insurance Agency Llc,False,False
4151,13.13,44.5,0.0,0.0,44.5,Cash,Taxicab Insurance Agency Llc,False,True
240,0.8,5.5,4.0,0.0,9.5,Credit Card,Taxi Affiliation Services,False,True
1660,4.64,12.72,1.5,0.0,14.22,Mobile,Medallion Leasin,True,True
1747,8.57,27.75,0.0,0.0,27.75,Prcard,Flash Cab,False,True
1318,12.95,33.5,6.8,0.0,40.8,Credit Card,City Service,False,True
1200,3.7,13.75,2.85,0.0,16.6,Credit Card,Top Cab Affiliation,False,False
641,0.74,7.5,0.0,0.0,7.5,Cash,Flash Cab,False,True
594,1.23,7.75,0.0,0.0,7.75,Cash,Flash Cab,False,True
1447,12.25,32.5,9.38,4.5,46.88,Credit Card,City Service,False,True
323,1.07,6.0,0.0,0.0,6.5,Credit Card,Flash Cab,False,False
360,1.07,6.25,1.5,0.0,8.25,Credit Card,Taxicab Insurance Agency Llc,True,True
323,1.03,5.75,0.0,0.0,5.75,Cash,Flash Cab,True,True
3087,18.34,47.25,10.45,4.5,62.7,Credit Card,Medallion Leasin,False,True
1738,9.86,30.0,4.58,0.0,34.58,Prcard,Flash Cab,False,False
308,0.9,5.25,0.0,1.0,6.25,Cash,Sun Taxi,False,True
342,1.15,9.5,2.25,0.0,11.75,Mobile,Globe Taxi,False,True
540,0.1,9.5,0.0,0.0,9.5,Credit Card,Taxi Affiliation Services,False,True
829,2.52,9.38,5.0,0.0,14.38,Mobile,Sun Taxi,False,False
2167,31.37,74.25,16.45,7.5,98.7,Credit Card,Sun Taxi,False,True
2880,12.9,36.5,0.0,0.0,36.5,Unknown,Taxi Affiliation Services,False,True
419,0.85,9.0,2.15,0.0,11.15,Mobile,Sun Taxi,False,True
3180,17.7,47.25,10.35,4.0,61.6,Credit Card,Taxi Affiliation Services,False,True
541,1.2,7.5,2.0,0.0,10.0,Credit Card,City Service,False,True
1179,2.9,12.75,2.65,0.0,15.9,Credit Card,Chicago Independents,False,True
1064,4.3,15.0,0.0,0.0,15.0,Cash,Sun Taxi,False,True
551,1.82,8.5,0.0,0.0,8.5,Prcard,Flash Cab,False,True
239,0.48,4.75,0.0,0.0,4.75,Cash,Medallion Leasin,False,True
801,2.31,10.25,0.0,0.0,10.25,Cash,Star North Taxi Management Llc,True,True
664,1.61,8.0,0.22,0.0,8.22,Mobile,Taxicab Insurance Agency Llc,True,True
360,1.3,6.75,2.0,0.0,8.75,Credit Card,Taxi Affiliation Services,False,True
240,0.5,5.0,0.0,0.0,5.0,Cash,"Taxicab Insurance Agency, LLC",False,True
1560,12.5,34.25,7.75,4.0,46.0,Credit Card,"Taxicab Insurance Agency, LLC",False,True
3240,16.7,44.25,5.0,4.0,53.25,Credit Card,Taxi Affiliation Services,False,True
765,3.04,11.55,3.05,0.0,14.6,Mobile,Star North Taxi Management Llc,False,True
1587,18.31,45.5,12.5,4.0,62.5,Credit Card,Taxicab Insurance Agency Llc,False,False
1289,15.94,40.14,10.7,0.0,50.84,Mobile,Sun Taxi,False,False
1765,12.74,33.5,7.8,5.0,46.8,Credit Card,Taxicab Insurance Agency Llc,False,True
1388,3.37,14.5,2.0,1.0,18.0,Credit Card,Sun Taxi,True,True
804,2.62,11.0,0.0,2.0,13.0,Cash,Medallion Leasin,False,True
878,5.5,16.25,3.35,0.0,19.6,Prcard,Flash Cab,True,True
2160,12.1,35.5,0.0,4.0,39.5,Cash,Taxi Affiliation Services,False,True
1780,17.89,44.0,12.12,4.0,60.62,Credit Card,Sun Taxi,False,True
202,0.42,4.75,0.0,1.0,5.75,Cash,Chicago Independents,False,True
1177,18.07,41.71,7.28,0.0,52.99,Mobile,Sun Taxi,True,True
600,1.8,8.5,0.0,0.0,8.5,Cash,Taxi Affiliation Services,True,False
420,0.9,6.25,0.0,0.0,6.25,Cash,Taxi Affiliation Services,False,True
379,0.91,6.0,2.0,0.0,8.5,Credit Card,Blue Ribbon Taxi Association,False,True
896,9.42,25.25,7.69,5.0,38.44,Credit Card,City Service,True,True
1023,4.02,13.75,0.0,0.0,13.75,Prcard,Flash Cab,False,True
900,0.1,12.0,2.5,0.0,14.5,Credit Card,Taxi Affiliation Services,False,True
1080,9.2,25.0,0.0,0.0,25.0,Unknown,Taxi Affiliation Services,False,True
1948,14.38,37.0,8.5,5.0,51.0,Credit Card,Sun Taxi,False,False
151,0.59,9.0,2.15,0.0,11.15,Mobile,Sun Taxi,False,True
540,2.68,9.75,3.0,0.0,13.25,Credit Card,Flash Cab,False,False
2205,13.03,36.75,8.25,4.0,49.5,Credit Card,Chicago Independents,False,True
1260,0.2,14.25,3.0,0.0,17.25,Credit Card,Taxi Affiliation Services,False,True
525,1.63,7.75,2.0,0.0,10.25,Credit Card,Flash Cab,True,True
1733,17.18,42.75,0.0,0.0,42.75,Cash,Flash Cab,False,True
2259,18.12,45.5,0.0,5.0,50.5,Cash,Star North Taxi Management Llc,False,True
156,0.94,5.25,0.0,0.0,5.25,Prcard,Flash Cab,False,False
461,1.84,8.25,1.5,0.0,10.25,Credit Card,5 Star Taxi,True,True
2040,16.9,43.5,10.0,6.0,59.5,Credit Card,"Taxicab Insurance Agency, LLC",False,True
240,0.6,5.0,2.0,0.0,7.0,Credit Card,U Taxicab,False,True
591,1.2,7.75,3.0,0.0,11.25,Credit Card,Chicago Independents,True,True
1041,2.26,11.5,3.0,0.0,15.0,Credit Card,Taxicab Insurance Agency Llc,False,True
1897,15.4,43.22,0.0,0.0,43.22,Cash,Flash Cab,False,True
581,3.26,11.49,2.81,0.0,14.3,Mobile,Sun Taxi,False,True
720,3.1,10.75,0.0,0.0,10.75,Unknown,Taxi Affiliation Services,False,False
1041,11.45,29.75,0.0,0.0,29.75,Prcard,Flash Cab,False,True
928,3.8,10.96,0.67,0.0,11.63,Mobile,Flash Cab,False,False
525,1.56,7.5,3.0,0.0,11.0,Credit Card,Chicago Independents,False,True
965,2.38,10.75,2.25,0.0,13.5,Mobile,Star North Taxi Management Llc,False,True
2742,16.99,44.0,0.0,4.0,48.0,Cash,Medallion Leasin,False,True
645,1.85,8.5,0.0,0.0,9.0,Credit Card,Taxicab Insurance Agency Llc,False,True
1644,10.38,28.75,0.0,0.0,28.75,Prcard,Flash Cab,False,True
660,2.2,9.0,0.0,0.0,9.0,Unknown,Taxi Affiliation Services,True,False
1860,16.6,41.25,0.0,7.5,48.75,Cash,312 Medallion Management Corp,False,True
420,1.6,7.5,0.0,0.0,7.5,Cash,Choice Taxi Association,False,True
1364,17.73,69.0,0.0,0.0,69.0,Cash,Sun Taxi,False,False
194,0.61,4.75,1.05,0.0,6.3,Mobile,Chicago Independents,False,True
3121,18.24,46.5,10.2,4.0,61.2,Credit Card,Taxicab Insurance Agency Llc,False,True
2246,17.84,44.25,12.19,4.0,60.94,Credit Card,Taxicab Insurance Agency Llc,False,True
2655,21.18,51.75,11.25,4.0,67.5,Credit Card,Sun Taxi,False,True
306,2.22,8.5,0.0,0.0,8.5,Cash,Flash Cab,False,True
431,1.11,6.75,0.0,0.0,6.75,Cash,Blue Ribbon Taxi Association,True,False
1461,18.12,44.5,12.25,4.0,61.25,Credit Card,Taxicab Insurance Agency Llc,True,False
255,0.99,5.5,0.0,0.0,5.5,Cash,Flash Cab,False,True
876,1.24,13.44,1.58,0.0,15.02,Mobile,Flash Cab,False,True
1055,6.66,18.34,3.34,0.0,21.68,Mobile,City Service,False,False
433,1.18,6.75,2.0,0.0,9.25,Credit Card,Sun Taxi,False,True
1712,6.93,23.25,0.0,0.0,23.25,Prcard,Flash Cab,False,True
710,6.23,17.75,0.0,0.0,17.75,Prcard,Flash Cab,True,True
0,0.1,3.25,0.0,0.0,3.25,Cash,Taxi Affiliation Services,False,False
540,1.7,8.0,0.0,1.0,9.0,Credit Card,U Taxicab,True,True
124,0.37,4.25,4.0,0.0,8.75,Credit Card,Medallion Leasin,True,True
4702,17.65,52.75,11.45,4.0,68.7,Credit Card,Sun Taxi,False,True
784,2.04,10.02,2.71,0.0,12.73,Mobile,Globe Taxi,False,True
601,1.35,7.75,3.0,2.0,13.25,Credit Card,Chicago Independents,False,True
623,1.5,9.0,2.37,0.0,11.37,Mobile,City Service,False,True
1237,9.4,25.5,0.0,0.0,25.5,Prcard,City Service,False,False
1380,9.3,26.0,0.0,0.0,26.0,Unknown,Taxi Affiliation Services,True,True
1399,13.27,34.5,0.0,0.0,34.5,Cash,Sun Taxi,True,True
1207,6.56,19.5,0.0,0.0,19.5,Cash,Star North Taxi Management Llc,False,True
685,1.77,9.0,0.0,1.0,10.0,Cash,Chicago Independents,False,True
900,2.2,10.25,0.0,0.0,10.25,Cash,Choice Taxi Association,False,True
282,0.5,5.0,4.0,0.0,9.5,Credit Card,City Service,True,True
240,0.7,5.25,2.0,0.0,7.25,Credit Card,Taxi Affiliation Services,False,True
421,1.09,8.0,1.95,0.0,9.95,Mobile,Chicago Independents,False,True
2808,6.69,27.75,0.0,0.0,27.75,Prcard,Flash Cab,False,True
1197,11.75,30.0,0.0,0.0,30.0,Prcard,Flash Cab,False,False
1680,12.7,34.25,0.0,0.0,34.25,Unknown,Taxi Affiliation Services,False,True
3489,17.97,49.75,12.81,1.0,64.06,Credit Card,Taxicab Insurance Agency Llc,False,True
320,1.01,9.0,2.0,0.0,11.0,Mobile,Sun Taxi,True,False
1849,15.41,40.25,0.0,4.0,44.25,Cash,Taxicab Insurance Agency Llc,False,False
609,2.09,8.06,1.5,0.0,9.56,Mobile,Star North Taxi Management Llc,False,False
1402,17.79,43.75,9.95,5.5,59.7,Credit Card,Chicago Independents,False,False
1662,4.6,18.03,4.38,0.0,22.41,Mobile,Medallion Leasin,False,True
2220,1.0,41.0,9.05,4.0,54.05,Credit Card,Taxi Affiliation Services,False,True
402,1.7,7.75,3.0,0.5,11.75,Credit Card,City Service,True,False
411,2.47,9.0,2.21,0.0,11.21,Mobile,Patriot Taxi Dba Peace Taxi Associat,False,True
744,1.91,9.5,2.0,0.0,12.0,Mobile,Sun Taxi,False,True
1440,8.4,24.5,0.0,0.0,24.5,Cash,Taxi Affiliation Services,False,True
1805,7.74,23.25,0.0,0.0,23.25,Prcard,Flash Cab,False,True
468,1.36,8.0,1.76,0.0,9.76,Mobile,Globe Taxi,False,True
669,2.59,10.0,1.0,0.0,11.0,Mobile,Sun Taxi,False,True
158,0.59,4.75,2.0,0.0,7.25,Credit Card,City Service,False,True
544,1.51,8.0,1.95,0.0,9.95,Mobile,Chicago Independents,True,True
717,3.7,12.55,2.95,0.0,15.5,Mobile,Chicago Independents,False,True
1503,14.82,38.25,0.0,0.0,38.25,Cash,Flash Cab,False,True
663,1.46,9.0,0.0,0.0,9.0,Mobile,Chicago Independents,False,False
494,1.38,9.5,2.0,0.0,11.5,Mobile,Sun Taxi,True,True
1216,7.14,21.63,2.55,0.0,24.18,Mobile,Medallion Leasin,False,True
761,9.27,24.75,6.31,0.0,31.56,Credit Card,Taxicab Insurance Agency Llc,False,False
208,0.64,8.0,1.95,0.0,9.95,Mobile,Sun Taxi,False,True
5967,6.03,31.0,0.0,0.0,31.0,Prcard,5 Star Taxi,False,True
2928,19.14,48.25,10.95,6.0,65.7,Credit Card,Taxicab Insurance Agency Llc,False,True
582,2.4,9.0,2.36,0.0,11.36,Mobile,Globe Taxi,True,False
635,1.84,8.75,0.0,0.0,8.75,Cash,Flash Cab,False,True
2897,18.61,47.5,10.1,2.5,60.6,Credit Card,5 Star Taxi,False,True
370,1.33,6.75,1.0,0.0,8.25,Mobile,Medallion Leasin,False,False
1837,17.6,43.5,8.8,0.0,52.8,Credit Card,Taxicab Insurance Agency Llc,False,True
1828,17.31,43.25,9.55,4.0,57.3,Credit Card,Star North Taxi Management Llc,False,True
410,1.06,10.0,1.01,0.0,11.01,Mobile,City Service,False,True
622,2.08,9.25,3.0,0.0,12.75,Credit Card,Taxicab Insurance Agency Llc,False,True
2899,17.95,46.0,10.2,4.5,61.2,Credit Card,Sun Taxi,True,True
3240,10.2,32.75,0.0,0.0,32.75,Unknown,Taxi Affiliation Services,False,True
1500,1.1,45.25,16.7,10.0,71.95,Credit Card,Taxi Affiliation Services,False,False
1863,16.55,41.0,6.98,5.0,53.48,Credit Card,Star North Taxi Management Llc,False,True
314,0.65,5.25,2.0,0.0,7.75,Credit Card,Flash Cab,False,True
1775,6.82,17.65,4.11,0.0,21.76,Mobile,Star North Taxi Management Llc,False,True
300,0.8,5.75,0.0,0.0,5.75,Cash,Taxi Affiliation Services,True,True
1599,18.0,44.5,0.0,0.0,44.5,Cash,Flash Cab,True,True
1501,17.52,44.5,0.0,4.0,49.0,Credit Card,City Service,True,False
3513,19.54,51.0,11.2,4.5,67.2,Credit Card,Chicago Independents,False,True
8,0.01,17.75,4.56,0.0,22.81,Credit Card,City Service,True,True
1648,17.71,43.75,14.78,5.0,64.03,Credit Card,City Service,False,True
1347,17.53,41.36,8.81,0.0,50.17,Mobile,Flash Cab,False,True
3167,17.38,40.27,4.29,0.0,44.56,Mobile,City Service,True,True
420,1.8,8.0,4.0,0.0,12.0,Credit Card,Taxi Affiliation Services,True,True
3952,2.69,29.0,0.0,0.0,29.0,Cash,Flash Cab,False,False
1517,16.96,42.25,9.75,6.0,58.5,Credit Card,Sun Taxi,True,True
420,0.8,6.5,0.0,0.0,6.5,Cash,Taxi Affiliation Services,False,True
408,1.58,7.5,1.2,0.0,9.2,Mobile,Chicago Independents,False,False
721,9.01,24.25,0.0,0.0,24.25,Prcard,City Service,False,True
598,5.91,37.25,0.0,0.0,37.25,Cash,Flash Cab,False,False
480,2.2,8.5,3.0,1.0,12.5,Credit Card,Taxi Affiliation Services,False,True
785,2.0,7.75,0.0,1.5,9.25,Cash,Star North Taxi Management Llc,False,False
526,1.6,7.25,0.0,0.0,7.25,Cash,Chicago Independents,False,True
250,1.15,8.0,1.6,0.0,9.6,Mobile,Choice Taxi Association Inc,False,True
981,2.73,11.25,0.0,0.0,11.25,Cash,Chicago Independents,True,True
4930,17.33,53.5,11.6,4.0,69.6,Credit Card,Taxicab Insurance Agency Llc,False,True
840,2.9,11.75,3.05,0.0,14.8,Credit Card,"Taxicab Insurance Agency, LLC",False,True
502,2.77,9.95,0.0,0.0,9.95,Mobile,City Service,False,False
404,1.63,10.0,1.75,0.0,11.75,Mobile,City Service,False,False
337,0.69,5.5,2.0,0.0,8.0,Credit Card,Taxicab Insurance Agency Llc,False,True
281,1.34,6.5,1.0,0.0,8.0,Credit Card,Chicago Independents,False,True
964,3.18,12.25,2.75,1.0,16.5,Credit Card,City Service,False,True
1380,0.3,17.5,0.0,0.0,17.5,Cash,Taxi Affiliation Services,True,True
218,1.09,9.0,2.08,0.0,11.08,Mobile,Taxicab Insurance Agency Llc,True,False
1400,16.65,41.25,6.86,4.0,52.61,Credit Card,Globe Taxi,False,False
3316,15.92,41.5,9.2,4.0,55.2,Credit Card,Sun Taxi,False,True
3931,17.95,49.25,10.95,5.0,65.7,Credit Card,Medallion Leasin,False,True
465,1.46,7.25,0.0,1.0,8.25,Cash,Sun Taxi,False,True
435,0.83,6.25,0.0,0.0,6.75,Credit Card,Blue Ribbon Taxi Association,False,True
1034,4.4,15.25,0.0,0.0,15.25,Cash,City Service,False,True
960,0.2,15.5,0.0,0.0,15.5,Unknown,Taxi Affiliation Services,True,True
1132,12.75,31.75,0.0,4.0,35.75,Cash,Medallion Leasin,False,False
1440,6.0,19.5,0.0,0.0,19.5,Unknown,Taxi Affiliation Services,False,True
240,1.3,6.5,3.25,2.0,11.75,Credit Card,Taxi Affiliation Services,False,True
377,0.45,5.5,0.0,0.0,5.5,Cash,Flash Cab,False,True
640,1.85,8.75,0.0,0.0,9.25,Mobile,Chicago Independents,True,False
2534,10.99,32.5,0.0,0.0,32.5,Prcard,Flash Cab,False,True
1560,0.6,28.25,0.0,0.0,28.25,Unknown,Taxi Affiliation Services,False,True
665,4.56,14.25,3.94,1.0,19.69,Credit Card,Medallion Leasin,False,True
792,4.41,14.25,0.0,0.0,14.25,Cash,Globe Taxi,False,True
1200,0.3,19.0,0.0,1.0,20.0,Credit Card,Taxi Affiliation Services,False,True
471,0.67,6.25,0.0,1.5,7.75,Cash,Blue Ribbon Taxi Association,False,True
437,0.49,6.0,3.0,1.0,10.5,Credit Card,Taxicab Insurance Agency Llc,False,True
372,1.32,6.75,3.0,0.0,10.25,Credit Card,Flash Cab,False,True
611,3.55,12.0,2.8,1.5,16.8,Credit Card,City Service,False,True
2591,18.09,45.75,0.0,6.0,52.25,Credit Card,Chicago Taxicab,False,True
348,1.24,6.5,0.0,0.0,7.0,Credit Card,Blue Ribbon Taxi Association,True,True
1040,0.93,9.5,0.0,0.0,9.5,Cash,Taxicab Insurance Agency Llc,False,True
1347,11.37,30.25,0.0,0.0,30.25,Prcard,Flash Cab,False,True
2345,17.63,44.75,9.05,0.0,54.3,Credit Card,Taxicab Insurance Agency Llc,False,True
568,1.2,7.5,0.9,1.0,9.9,Mobile,Chicago Independents,False,True
278,0.9,9.5,1.69,0.0,11.19,Mobile,Taxicab Insurance Agency Llc,True,True
240,0.6,5.25,0.0,0.0,5.25,Cash,Top Cab Affiliation,False,True
420,1.5,7.5,0.0,0.0,7.5,Cash,"Taxicab Insurance Agency, LLC",False,True
372,1.1,8.0,0.0,0.0,8.0,Mobile,Star North Taxi Management Llc,False,True
419,0.88,6.25,2.0,0.0,8.75,Credit Card,Sun Taxi,False,True
360,1.3,6.75,1.0,0.0,7.75,Credit Card,Top Cab Affiliation,False,True
242,0.9,5.5,3.0,1.0,10.0,Credit Card,Flash Cab,False,False
180,0.3,4.5,0.0,0.0,4.5,Cash,Taxi Affiliation Services,False,False
138,0.76,5.0,2.0,0.0,7.0,Prcard,5 Star Taxi,False,True
801,12.31,31.0,0.0,0.0,31.0,Prcard,Flash Cab,False,False
296,0.62,5.25,0.0,0.0,5.25,Cash,Blue Ribbon Taxi Association,False,True
2015,18.1,45.0,5.0,4.0,54.5,Credit Card,Taxicab Insurance Agency Llc,False,True
1380,0.2,15.5,0.0,1.0,16.5,Unknown,Taxi Affiliation Services,False,True
540,0.1,9.25,2.56,1.0,12.81,Credit Card,Taxi Affiliation Services,False,True
453,1.43,7.25,2.0,0.0,9.75,Credit Card,5 Star Taxi,False,True
710,8.14,19.24,2.25,0.0,21.49,Mobile,Chicago Independents,True,True
1292,4.89,16.75,3.45,0.0,20.2,Prcard,5 Star Taxi,True,False
600,2.0,8.5,2.0,0.0,10.5,Credit Card,Choice Taxi Association,False,True
1187,8.69,23.36,5.66,0.0,29.02,Mobile,Sun Taxi,False,True
4200,17.5,49.75,10.85,4.0,64.6,Credit Card,Taxi Affiliation Services,False,True
333,0.44,5.25,2.0,1.0,8.75,Credit Card,City Service,True,True
900,5.9,17.5,0.0,0.0,17.5,Unknown,Taxi Affiliation Services,True,True
1800,14.49,37.25,0.0,5.0,42.75,Credit Card,5 Star Taxi,False,False
1163,3.16,13.25,2.75,0.0,16.5,Credit Card,Globe Taxi,False,True
834,5.07,15.25,3.15,0.0,18.9,Mobile,Flash Cab,True,False
2465,16.98,42.5,10.0,5.0,58.0,Credit Card,Taxicab Insurance Agency Llc,False,True
379,1.37,7.0,4.0,0.0,11.5,Credit Card,Sun Taxi,False,True
372,1.13,6.25,3.0,2.5,12.25,Credit Card,Flash Cab,False,True
240,0.56,5.0,0.0,1.0,6.0,Cash,City Service,False,False
339,0.8,5.75,2.0,1.0,9.25,Credit Card,Chicago Independents,False,True
484,1.36,7.25,0.0,0.0,7.25,Cash,Flash Cab,False,True
1140,0.6,29.5,6.8,4.0,40.3,Credit Card,Taxi Affiliation Services,False,True
780,8.4,22.5,0.0,4.0,26.5,Cash,Taxi Affiliation Services,False,False
468,2.32,9.25,4.0,0.0,13.75,Credit Card,Sun Taxi,True,True
753,1.63,8.0,0.0,1.0,9.0,Cash,Chicago Taxicab,False,True
233,0.88,10.0,2.53,0.0,12.53,Mobile,City Service,False,True
1058,9.15,25.0,6.1,5.0,36.6,Credit Card,City Service,False,False
1473,3.7,15.5,0.0,0.0,15.5,Cash,Flash Cab,True,True
2400,16.9,42.25,8.0,4.0,54.25,Credit Card,Taxi Affiliation Services,False,True
343,0.88,6.0,0.0,0.0,6.0,Cash,Sun Taxi,False,True
1012,2.0,9.13,3.0,0.0,12.13,Mobile,Taxicab Insurance Agency Llc,False,True
573,2.03,9.0,4.0,1.5,15.0,Credit Card,Medallion Leasin,True,True
422,1.14,9.0,2.31,0.0,11.31,Mobile,City Service,False,True
2937,25.63,69.45,0.0,0.0,69.45,Cash,Flash Cab,False,True
651,1.69,8.0,1.96,0.0,9.96,Mobile,Star North Taxi Management Llc,False,True
2340,6.4,42.25,9.3,4.0,55.55,Credit Card,"Taxicab Insurance Agency, LLC",False,True
300,1.1,6.5,1.3,0.0,7.8,Credit Card,Taxi Affiliation Services,False,True
480,0.1,8.75,3.0,4.5,16.25,Credit Card,Taxi Affiliation Services,True,True
650,1.71,8.5,3.0,1.0,13.0,Credit Card,City Service,False,True
2390,0.48,17.0,0.0,0.0,17.0,Cash,Sun Taxi,False,False
3722,10.88,38.75,0.0,0.0,38.75,Prcard,Flash Cab,False,False
262,0.73,5.5,2.0,1.0,9.0,Credit Card,Sun Taxi,False,True
603,3.24,10.72,2.64,0.0,13.36,Mobile,Sun Taxi,False,True
420,3.8,21.25,2.0,5.0,28.75,Credit Card,Globe Taxi,False,True
780,9.3,24.25,0.0,0.0,24.25,Unknown,Taxi Affiliation Services,False,True
480,1.7,7.75,1.0,0.0,8.75,Credit Card,U Taxicab,False,False
780,0.5,22.0,0.0,0.0,22.0,Cash,Taxi Affiliation Services,False,False
636,2.03,9.25,1.0,0.0,10.75,Credit Card,Globe Taxi,False,True
660,0.1,8.5,0.0,0.0,8.5,Cash,Taxi Affiliation Services,False,True
261,0.33,8.0,2.13,0.0,10.13,Mobile,5 Star Taxi,False,True
720,0.1,8.5,0.0,1.0,9.5,Cash,Taxi Affiliation Services,False,True
1620,17.2,42.25,11.11,4.0,57.36,Credit Card,Taxi Affiliation Services,False,False
1020,1.8,8.75,0.0,1.0,9.75,Cash,Taxi Affiliation Services,True,True
527,4.81,14.5,0.0,0.0,14.5,Prcard,Sun Taxi,False,True
1351,17.86,43.75,6.64,0.0,50.89,Credit Card,Medallion Leasin,True,False
345,1.0,9.5,2.25,0.0,11.75,Mobile,City Service,False,True
491,3.45,11.5,0.0,0.0,11.5,Cash,Flash Cab,False,True
4893,11.18,38.0,0.0,4.0,42.0,Cash,Taxicab Insurance Agency Llc,True,True
2520,16.6,42.75,11.8,4.0,58.55,Credit Card,Chicago Independents,False,True
79,0.19,3.75,0.0,0.0,3.75,Cash,Taxicab Insurance Agency Llc,False,True
3050,13.07,40.75,11.56,5.0,57.81,Credit Card,5 Star Taxi,False,True
2687,10.94,30.5,0.0,0.0,30.5,Prcard,5 Star Taxi,False,True
961,2.29,10.75,0.0,2.5,13.25,Cash,Globe Taxi,False,True
3480,16.39,41.5,9.2,4.0,55.2,Credit Card,Medallion Leasin,False,True
457,0.76,6.25,2.0,1.0,9.75,Credit Card,Flash Cab,False,True
1224,17.82,43.25,5.0,4.0,52.75,Credit Card,Taxicab Insurance Agency Llc,False,False
1020,0.1,11.75,0.0,0.0,11.75,Cash,Taxi Affiliation Services,False,False
785,2.21,9.75,4.0,0.0,14.25,Credit Card,Flash Cab,False,True
674,2.39,9.75,3.0,0.0,13.25,Credit Card,Patriot Taxi Dba Peace Taxi Associat,False,False
1618,19.6,48.0,10.7,5.0,64.2,Credit Card,Star North Taxi Management Llc,False,False
720,2.9,11.0,2.3,0.0,13.3,Credit Card,Taxi Affiliation Services,False,True
1555,15.21,37.5,10.5,4.0,52.5,Credit Card,Sun Taxi,True,False
1920,18.4,45.5,10.1,5.0,60.6,Credit Card,"Taxicab Insurance Agency, LLC",False,True
3334,17.45,46.75,10.25,4.0,61.5,Credit Card,City Service,False,True
795,2.66,13.11,2.0,0.0,15.11,Mobile,5 Star Taxi,True,False
582,1.66,8.25,1.0,0.0,9.25,Mobile,Flash Cab,False,False
2549,8.8,28.75,0.0,1.0,29.75,Prcard,Globe Taxi,False,True
544,3.69,12.0,2.5,0.0,15.0,Credit Card,Flash Cab,False,True
558,1.52,7.25,0.0,0.0,7.25,Cash,Choice Taxi Association Inc,False,True
3865,9.88,36.25,0.0,0.0,36.25,Prcard,Flash Cab,False,True
