Trip Seconds,Trip Miles,Fare,Tips,Extras,Trip Total,Payment Type,Company,Weekend,Daytime
2995,17.17,44.75,5.0,5.0,55.25,Credit Card,Sun Taxi,False,True
1330,17.29,43.0,6.0,6.0,55.5,Credit Card,Medallion Leasin,False,False
148,0.11,4.0,0.0,0.0,4.0,Cash,Flash Cab,True,False
887,3.22,12.42,2.91,0.0,15.33,Mobile,Globe Taxi,False,True
452,0.72,6.0,3.0,1.0,10.5,Credit Card,Chicago Independents,False,True
2280,15.1,39.25,8.75,4.0,52.0,Credit Card,"Taxicab Insurance Agency, LLC",True,True
783,5.13,16.0,0.0,0.0,16.0,Cash,Flash Cab,True,True
1320,3.5,14.75,0.0,0.0,14.75,Cash,Taxi Affiliation Services,False,True
606,2.03,9.0,0.0,0.0,9.0,Cash,Flash Cab,False,True
1994,13.52,35.0,0.0,4.0,39.0,Cash,Taxicab Insurance Agency Llc,True,True
600,1.5,8.0,4.0,1.0,13.0,Credit Card,Taxi Affiliation Services,True,True
360,1.1,6.25,3.0,1.0,10.25,Credit Card,Taxi Affiliation Services,False,True
501,1.68,8.98,2.23,0.0,11.21,Mobile,City Service,True,True
287,0.4,4.75,0.0,0.0,4.75,Cash,Sun Taxi,False,True
629,3.22,11.07,2.71,0.0,13.78,Mobile,Flash Cab,True,True
839,4.29,15.17,3.56,0.0,18.73,Mobile,Taxicab Insurance Agency Llc,False,True
1569,2.48,13.75,0.0,1.0,14.75,Prcard,Sun Taxi,False,True
602,6.29,16.0,0.37,0.0,16.37,Mobile,City Service,False,False
281,1.11,6.0,3.0,1.0,10.5,Credit Card,Flash Cab,True,True
488,1.16,7.0,1.7,1.0,10.2,Mobile,Globe Taxi,False,True
1098,3.72,13.75,2.36,1.5,18.11,Credit Card,Flash Cab,True,True
1560,17.6,43.5,8.8,0.0,52.3,Credit Card,Taxi Affiliation Services,False,False
434,4.29,13.25,3.55,4.0,21.3,Credit Card,Chicago Independents,False,True
371,0.29,9.5,2.34,0.0,11.84,Mobile,Chicago Independents,False,True
543,1.04,7.0,2.0,0.0,9.5,Credit Card,Sun Taxi,False,True
2767,19.21,48.25,2.0,15.0,65.75,Credit Card,Taxicab Insurance Agency Llc,True,True
1592,7.8,22.75,0.0,0.0,22.75,Cash,Medallion Leasin,False,True
2574,17.86,44.0,9.7,4.0,58.2,Credit Card,Flash Cab,False,False
963,3.53,12.68,1.24,0.0,13.92,Mobile,Globe Taxi,False,True
2940,14.1,36.75,8.45,5.0,50.2,Credit Card,Taxi Affiliation Services,True,True
900,3.0,12.0,2.5,0.0,14.5,Credit Card,Choice Taxi Association,False,True
235,0.5,5.0,2.0,1.0,8.5,Credit Card,Globe Taxi,False,False
2141,11.11,31.25,0.0,0.0,31.25,Prcard,5 Star Taxi,False,True
415,0.84,6.25,0.0,0.0,6.25,Cash,Flash Cab,False,True
929,7.56,19.21,2.24,0.0,21.45,Mobile,Sun Taxi,False,True
1513,4.55,16.18,0.0,0.0,16.18,Mobile,City Service,False,True
592,1.85,9.6,1.19,0.0,10.79,Mobile,Sun Taxi,False,True
496,1.02,6.75,0.0,0.0,6.75,Cash,Sun Taxi,False,True
400,0.74,6.0,4.0,0.0,10.5,Credit Card,Chicago Independents,False,True
2119,2.61,17.5,3.8,1.0,22.8,Credit Card,City Service,False,False
180,0.5,4.75,0.0,0.0,4.75,Cash,Taxi Affiliation Services,False,True
120,0.3,4.0,0.0,0.0,4.0,Cash,Taxi Affiliation Services,False,True
2571,17.71,44.0,9.7,4.0,58.2,Credit Card,Taxicab Insurance Agency Llc,False,True
515,2.22,9.0,0.0,1.0,10.0,Cash,Sun Taxi,True,True
1979,15.31,39.0,8.1,1.0,48.6,Mobile,Taxicab Insurance Agency Llc,False,False
480,1.7,8.25,2.0,1.0,11.25,Credit Card,Top Cab Affiliation,True,True
885,2.3,10.5,2.0,0.0,13.0,Credit Card,Blue Ribbon Taxi Association,False,True
364,1.37,6.5,2.0,0.0,9.0,Credit Card,Blue Ribbon Taxi Association,False,True
471,0.83,6.5,0.0,0.0,6.5,Cash,Medallion Leasin,False,True
429,1.3,7.0,3.0,0.0,10.5,Credit Card,City Service,False,True
3421,18.4,48.75,0.0,0.0,48.75,Cash,Taxicab Insurance Agency Llc,False,True
1380,7.6,22.0,0.0,0.0,22.0,Cash,Taxi Affiliation Services,False,True
2002,11.29,30.75,0.0,0.0,30.75,Prcard,Flash Cab,True,True
1511,7.77,23.25,0.0,0.0,23.25,Cash,Chicago Independents,False,True
778,2.73,9.49,2.35,0.0,11.84,Mobile,Chicago Independents,False,False
422,1.03,6.5,0.0,0.0,6.5,Cash,Sun Taxi,False,True
780,0.1,11.25,2.0,1.0,14.25,Credit Card,Taxi Affiliation Services,True,True
1430,5.76,18.0,0.0,0.0,18.0,Prcard,Flash Cab,False,True
900,5.1,16.25,3.35,0.0,19.6,Credit Card,Top Cab Affiliation,False,True
2977,18.28,54.0,0.0,0.0,54.5,Credit Card,Sun Taxi,True,True
1062,5.31,14.97,2.0,0.0,16.97,Mobile,Taxicab Insurance Agency Llc,False,False
2220,16.9,42.0,12.35,7.0,61.35,Credit Card,Taxi Affiliation Services,False,True
1894,13.05,34.75,8.15,5.5,48.9,Credit Card,City Service,False,True
819,4.12,14.0,2.9,0.0,17.4,Credit Card,City Service,False,True
2699,15.96,39.8,8.49,0.0,48.29,Mobile,Taxicab Insurance Agency Llc,False,True
619,1.4,8.0,0.0,0.0,8.0,Mobile,Flash Cab,False,True
463,0.85,6.5,0.0,1.0,8.0,Credit Card,Taxicab Insurance Agency Llc,False,True
643,2.12,9.5,2.0,2.0,14.0,Credit Card,City Service,False,True
1020,2.9,12.25,0.0,2.5,14.75,Cash,Choice Taxi Association,False,True
300,0.6,5.25,0.0,0.0,5.25,Cash,Taxi Affiliation Services,False,True
233,0.49,4.75,3.0,3.0,11.25,Credit Card,Taxicab Insurance Agency Llc,False,True
44,0.1,3.5,0.0,0.0,3.5,Cash,5 Star Taxi,False,True
540,1.5,7.5,3.0,0.0,10.5,Credit Card,Taxi Affiliation Services,False,True
420,1.2,6.75,1.0,0.0,7.75,Credit Card,Choice Taxi Association,False,True
1182,17.81,43.5,6.6,0.0,50.6,Credit Card,Flash Cab,True,True
291,0.74,5.5,0.0,0.0,5.5,Cash,Flash Cab,True,True
1742,5.52,20.25,4.15,0.0,24.9,Credit Card,City Service,False,True
419,1.02,9.5,2.25,0.0,11.75,Mobile,Taxicab Insurance Agency Llc,False,True
2571,14.24,38.0,6.38,4.0,48.88,Mobile,Sun Taxi,False,True
1260,1.4,11.5,0.0,0.0,11.5,Cash,Top Cab Affiliation,False,True
268,0.55,5.25,0.0,0.0,5.25,Cash,Sun Taxi,False,True
1200,10.2,27.5,0.0,0.0,27.5,Unknown,Taxi Affiliation Services,False,True
318,0.67,5.75,0.0,2.0,7.75,Cash,Sun Taxi,False,True
1591,17.77,43.75,9.05,1.0,54.3,Credit Card,Sun Taxi,True,True
1113,6.69,20.25,0.0,0.0,20.25,Cash,Taxicab Insurance Agency Llc,False,True
2249,17.62,43.75,9.65,4.0,57.9,Credit Card,City Service,False,True
780,3.0,11.75,2.65,1.0,15.4,Credit Card,Taxi Affiliation Services,False,True
3218,17.9,46.5,7.65,4.0,58.65,Mobile,City Service,False,True
1260,6.9,21.0,5.0,0.0,26.0,Credit Card,Taxi Affiliation Services,False,True
820,2.27,10.0,0.0,0.0,10.0,Cash,City Service,False,True
1568,15.5,39.25,0.0,0.0,39.25,Cash,Chicago Independents,False,False
156,0.45,4.5,3.0,0.0,8.0,Credit Card,Chicago Independents,False,True
424,2.78,10.0,4.0,0.0,14.5,Credit Card,Flash Cab,True,True
633,1.34,8.0,2.0,0.0,10.5,Credit Card,Flash Cab,False,True
2115,17.76,44.5,6.75,0.0,51.75,Credit Card,Flash Cab,False,True
2097,9.89,28.25,0.0,0.5,28.75,Prcard,Flash Cab,False,True
372,1.24,6.5,0.0,0.0,6.5,Prcard,Flash Cab,False,True
1732,11.2,30.5,7.0,4.0,42.0,Credit Card,Chicago Independents,False,True
703,3.13,11.0,1.0,2.0,14.5,Credit Card,Sun Taxi,False,False
1430,7.9,22.75,0.0,0.0,22.75,Prcard,Flash Cab,True,False
